,text,date,label,label_name,id,toxicity_label,toxicity_score
38,❧Morning Bible❧	A wonderful day has begun. 	Spend it happily and live with a smile. I wish you a good mood.	#อรุณสวัสดิ์คุณวิชญ์ภาส 	{{USERNAME}}	#BibleWichapas	#bsumone {{URL}},2024-04-26,2,bible,1783677417288311067,5 stars,0.6917575597763062
39,{{USERNAME}} That spirit ain't holy.,2024-04-26,2,bible,1783677413760930127,1 star,0.44650617241859436
40,Holy fuck I’ve come a long way Ty Jesus,2024-04-26,2,bible,1783677411877417073,5 stars,0.7222694754600525
41,"{{USERNAME}} {{USERNAME}} People need to get a back bone and tell the vaccine and face diaper pusher people. The works of the flesh and the devil's dark kingdom NO. 😡🗡️🛡️🏹⚖️📜 And say Yes to our Heavenly Father, Lord and Savior Jesus Christ and Holy Spirit in all areas of life. ❤️❤️❤️",2024-04-26,2,bible,1783677410648752357,5 stars,0.4023076593875885
42,beating my son over the head with the orange catholic bible,2024-04-26,2,bible,1783677408572211398,5 stars,0.4095946252346039
43,"{{USERNAME}} It was just a tuna sandwich with black olives on some good wheat bread, but it was the first thing I ate after a long unpleasant camping trip and it was perfect.",2024-04-26,2,bible,1783677399697428492,5 stars,0.5354783535003662
44,❧Morning Bible❧	A wonderful day has begun. 	Spend it happily and live with a smile. I wish you a good mood.	#อรุณสวัสดิ์คุณวิชญ์ภาส 	{{USERNAME}}	#BibleWichapas	#bsumone {{URL}},2024-04-26,2,bible,1783677398938190176,5 stars,0.6917575597763062
45,"Caleb Williams, D’Andre Swift, DJ Moore,  Keenan Allen, Rome Odunze, and Cole Kmet. Holy crap I’m drooling. The #Bears are going to be fun!",2024-04-26,2,bible,1783677391937925486,1 star,0.5245996713638306
46,wait the amount of throuple media i've ingested since i was a pre-teen?!? I LOVE THIS REVELATION {{URL}},2024-04-26,2,bible,1783677391753331130,5 stars,0.5581166744232178
47,{{USERNAME}} holy shit dude!!!,2024-04-26,2,bible,1783677390264189411,1 star,0.9050168991088867
48,{{USERNAME}} You absolutely know back my guy. Holy W.,2024-04-26,2,bible,1783677387521069433,5 stars,0.5376483201980591
49,yes that's right - {{USERNAME}} never wears a kippah except to Palestinian demonstrations - I can't imagine why?  Perhaps he thinks opposition to genocide is a holy sacrament?  or he's trying to paint himself as the poor hard done by Jew {{URL}},2024-04-26,2,bible,1783677386849980548,1 star,0.39230531454086304
50,By his wisdom God made the heavens; his love is eternal; Ps 136:5 #Bible,2024-04-26,2,bible,1783677386229231854,5 stars,0.7091692686080933
51,"{{USERNAME}} your huge evict holy, congrats no more baby face 😉",2024-04-26,2,bible,1783677386191487235,5 stars,0.6957007646560669
52,"#GodMorningFriday 	A wrong way of worship,	instead of being beneficial, is harmful.	For complete peace and happiness,take inititation from SatGuru.	Only He provides the true way of worship mentioned in holy scriptures.	{{USERNAME}} 	Must Watch Sadhna tv7:30PM	#FridayMotivation {{URL}}",2024-04-26,2,bible,1783677385357062485,1 star,0.523010790348053
53,"{{USERNAME}} (Beyond the Mormon canon) the Spanish Reina Valera Bible, JW Bible in English and Spanish, excerpts of the Quran, excerpts of the Tao te Ching, excerpts of Vedic Texts, various Buddhist mantras, Sufi poetry by Hafez and Rumi, and of course The Lord Of The Rings",2024-04-26,2,bible,1783677383318683689,5 stars,0.240480437874794
54,"This important book is for anyone concerned about violence directed at places of worship! ""Security for Holy Places"" written by Stephen D. Bryen {{USERNAME}} {{URL}} {{URL}}",2024-04-26,2,bible,1783677382685258220,5 stars,0.5817824602127075
55,"4/ I've been informed by a reliable source that this second prophet plagiarized a poem, claimed that he received it by angelic revelation, and shared the plagiarized work at a conference. Plagiarism, lying, and exaggerating angelic visitation.",2024-04-26,2,bible,1783677382567588127,1 star,0.7538883686065674
56,"{{USERNAME}} SEND HELP I'M CRYING, LIKE 100% BASED BUT THIS ALSO TOOK ME BY SURPRISE HOLY SHIT",2024-04-26,2,bible,1783677382550773801,1 star,0.46837544441223145
57,{{USERNAME}} HOLY!  I finally agree with Perk!  This is one of the dirtiest plays I’ve seen in ages.  Can’t believe he didn’t get tossed.,2024-04-26,2,bible,1783677382164873296,5 stars,0.8615780472755432
58,Embiid is aboutta drop 50 on a bad foot holy shit,2024-04-26,2,bible,1783677382026494376,1 star,0.7847669720649719
59,🔥🔥🔥I watched this one last night. This one really hit me to think more deeply about just how big God is. 		Real ole time King James Bible preaching.		*Note: This is not me preaching. This is just a preacher I admire and like a lot. {{URL}},2024-04-26,2,bible,1783677380831101088,5 stars,0.5699153542518616
60,Mind-blowing revelation! Let that sink in.	#ChandrakanthaDevelopers #DidYouKnow #RealEstateBuilders #Bangalore {{URL}},2024-04-26,2,bible,1783677379442876848,5 stars,0.4576309025287628
61,{{USERNAME}} Holy shit is that a chassis dynamics modified?,2024-04-26,2,bible,1783677378683666470,1 star,0.5601568222045898
62,"LET’S PRAY	Dear God, my righteous Father, I come to you on this fateful day, humbly seeking your mercy. For my actions have shamed your name. Don’t forsake Lord, as I yearn to have your holy spirit lead me to your glorious plans of the day. Amen. {{URL}}",2024-04-26,2,bible,1783677377865719848,5 stars,0.7658535838127136
63,{{USERNAME}} {{USERNAME}} Oh? I bet you have a Bible then,2024-04-26,2,bible,1783677377148580284,1 star,0.36247381567955017
64,ONE DAY SON… YOUR GREATEST VICTORY IS COMING… YOUR GREAT GRANNY JOHNNIE MAE FAVORITE BIBLE VERSE PSALMS 34:8 “ O taste and see that the LORD is good: blessed is the man that trusteth in him.” 🩷 YOUR BIGGEST FAN MOM #GODFAMILYFOOTBALL #HIGHSCHOOL #FRESHMAN #SPEAKLIFEOVERYOURKID {{URL}},2024-04-26,2,bible,1783677376569692215,5 stars,0.8470288515090942
65,"{{USERNAME}} {{USERNAME}} {{USERNAME}} {{USERNAME}} What kind of fooishness is this? Jesus is Christ and you can be part of the only Church he started, in the Bible in his own words. But you deny Him the right.",2024-04-26,2,bible,1783677375286595856,1 star,0.5555114150047302
66,"{{USERNAME}} {{USERNAME}} {{USERNAME}} 4,000 whole people watching it. Holy shit.",2024-04-26,2,bible,1783677371322712447,1 star,0.9396300315856934
67,❧Morning Bible❧	A wonderful day has begun. 	Spend it happily and live with a smile. I wish you a good mood.	#อรุณสวัสดิ์คุณวิชญ์ภาส 	{{USERNAME}}	#BibleWichapas	#bsumone {{URL}},2024-04-26,2,bible,1783677369376718952,5 stars,0.6917575597763062
68,There's  bible verse that states $barron trump is Alexander the Great incarnate.,2024-04-26,2,bible,1783677356218908991,1 star,0.3045344650745392
69,"The fact that we have OG and JB masterclass tonight yet the Sixers CAN'T MISS....It's just exhausting. We're playing really well, but Sixers can't miss at all, holy smokes. 😭 {{URL}}",2024-04-26,2,bible,1783677350976037145,2 stars,0.2816469967365265
70,"{{USERNAME}} The first holy crap moment was the crowd. Unbelievable. I've been to Hart Plaza for the Freedom Festival, but they have 275,000 at the draft tonight!",2024-04-26,2,bible,1783677350497890601,1 star,0.749121904373169
71,FRUIT FASTING DAY 26 LATE NIGHT HEALING BIBLE STUDY - PSALMS 72 (4/25/24) {{URL}},2024-04-26,2,bible,1783677348497555593,5 stars,0.3409402370452881
72,{{USERNAME}} Holy shit I can't believe they're real,2024-04-26,2,bible,1783677346962186500,1 star,0.8220625519752502
73,{{USERNAME}} I think you did! Holy shit. 🤯,2024-04-26,2,bible,1783677344680427765,1 star,0.562015175819397
74,"{{USERNAME}} {{USERNAME}} {{USERNAME}} Now, I'm no Christian, but please show me where in the Bible it says you're not allowed to kill someone in self-defense.		In fact, if I remember my Bible studies correctly, the Bible prescribes death as a punishment for truly heinous crimes... you know, like mass murder.",2024-04-26,2,bible,1783677343791263928,1 star,0.5356999635696411
75,{{USERNAME}} Holy moly,2024-04-26,2,bible,1783677342524621021,5 stars,0.40805187821388245
76,"i know this guy is a fucking idiot but holy shit {{USERNAME}}, citing a cartoon show and an MCU movie when people are going 'hey stories starring and about captain america aren't mercenary stories or accidentally helping nazi stories'. you are just talking out your ass at this point {{URL}}",2024-04-26,2,bible,1783677341165932552,1 star,0.8464880585670471
77,"{{USERNAME}} Holy shit, community noted??!!",2024-04-26,2,bible,1783677337277780410,1 star,0.8015428185462952
78,{{USERNAME}} {{USERNAME}} {{USERNAME}} Antisemitism laws make the Bible and Christianity illegal.  Remember the Jewish DOJ investigating traditional churches...,2024-04-26,2,bible,1783677333154812305,1 star,0.7950420379638672
79,"These “professors”, holy cow do we have bigger problems than student debt… it’s embarrassing and  absurd that the vast majority are considered “educators”  let the  “student”  wannabe terrorists  implode it all  …  YIKES so much money burnt",2024-04-26,2,bible,1783677325609169298,1 star,0.8977429270744324
80,"{{USERNAME}} Juma mubarak, wish you this holy and healthy day",2024-04-26,2,bible,1783677325176902070,5 stars,0.659730076789856
81,"{{USERNAME}} {{USERNAME}} Thanks... I admit that I have to look into Christian Anthropology a bit deeper first, too. E,g, what is a nation in the biblical perspective. What it's role and relevance. Fews on this changed drastically since World War Two it seems. Recall this article:	{{URL}}",2024-04-26,2,bible,1783677323876634715,4 stars,0.26738420128822327
82,"{{USERNAME}} Holy balls, that’s a gorgeous piece",2024-04-26,2,bible,1783677317056716829,5 stars,0.8210808038711548
83,Biden mocking the Bible 	No way he’s catholic {{URL}},2024-04-26,2,bible,1783677313311248640,1 star,0.29937055706977844
84,{{USERNAME}} Get this man a bump holy jumping,2024-04-26,2,bible,1783677311172129096,5 stars,0.4618522822856903
85,"{{USERNAME}} I been saying 1 must become a polarity master as U R the neutral creator God &amp; the Devil R a part of U Just like electrical positive, negative &amp; the neutral the Holy Trinity. Ain or Aleft which is the Neutral Creator comprised of opposing polarities in flux making creation..",2024-04-26,2,bible,1783677310966579352,1 star,0.39049044251441956
86,"{{USERNAME}} {{USERNAME}} {{USERNAME}} Cite for us in the Bible where the Hypostatic and Trinitarian Unions are explicitly stated? Because they're not. 		But first - cite ""bible"" in the Bible -  starting with the exact number of books that should be in it. {{URL}}",2024-04-26,2,bible,1783677308601069803,1 star,0.32942482829093933
87,{{USERNAME}} This game's music goes so fucking hard holy shit dude,2024-04-26,2,bible,1783677308353847620,1 star,0.9158557653427124
88,"{{USERNAME}} {{USERNAME}} {{USERNAME}} {{USERNAME}} No. It can be,to you, concluded that The Church founded by Christ is not good but in truth  the Church founded by Jesus, is perfect,despite Peter who denied Him and Judas who betrayed Him, it is still the mission of Christ and under the direction of The Holy Spirit!",2024-04-26,2,bible,1783677307917410416,1 star,0.27592936158180237
89,{{USERNAME}} Holy shit you fuckwad.   What brand of cereal did you get your badge in.  		Your so pathetic in your knowledge of law that I know more about the law there then you do and I don’t even live in the states.,2024-04-26,2,bible,1783677307401462105,1 star,0.937972903251648
90,Holy shit I wish literally anywhere near here was this well-stocked. Pokemon TCG is still limited as fuck here. Most places still have purchase limits. {{URL}},2024-04-26,2,bible,1783677305224650995,1 star,0.7510777711868286
91,"{{USERNAME}} holy crap, no way that is real.",2024-04-26,2,bible,1783677301672071371,1 star,0.9552399516105652
92,{{USERNAME}} {{USERNAME}} {{USERNAME}} I mean in the Bible. One verse. I don’t need an essay. 		It says he judges yes. 		But even so he was not in communion with God on par with Deborah or the other main figures in THE BOOK OF JUDGES. 		Even so: {{URL}},2024-04-26,2,bible,1783677299990090022,1 star,0.46073365211486816
93,{{USERNAME}} Only if it’s the holy spirt,2024-04-26,2,bible,1783677299289678267,4 stars,0.2626846730709076
94,"{{USERNAME}} first impression: Wait so cool 	nickname in head: Kowaiboy	do i like you: YES als i love. paw emoji miau	do i like ur pfp: YES HOLY SHIT	hug, hoofbump or kiss (or kill): Hug 🥰🥰	should you also do it:  ALSOYES",2024-04-26,2,bible,1783677298656358504,1 star,0.2926540672779083
95,{{USERNAME}} they made that shit way too fucking hard		and I remember playing the later bits of the game at my friend's house and holy shit the green goblin was so scary lmaooooo I'm convinced that's why Willem Dafoe's goblin haunts my dreams to this day,2024-04-26,2,bible,1783677296983023817,1 star,0.3607776463031769
96,holy fucking shit where does he come from. {{URL}},2024-04-26,2,bible,1783677295305044439,1 star,0.8609052300453186
97,"{{USERNAME}} Holy shit,i didn't knew you had your own show,(jk)",2024-04-26,2,bible,1783677295212773597,1 star,0.7803862690925598
98,"{{USERNAME}} {{USERNAME}} People need to get a back bone and tell the vaccine and face diaper pusher people. The works of the flesh and the devil's dark kingdom NO. 😡🗡️🛡️🏹⚖️📜 And say Yes to our Heavenly Father, Lord and Savior Jesus Christ and Holy Spirit in all areas of life. ❤️❤️❤️",2024-04-26,2,bible,1783677294290342074,5 stars,0.4023076593875885
99,HOLY SHIT THIS FOUL BAITING THOT BITCH HOE PUSSY ASS BITCH ASS MOTHERFUCKER IS ON THE LINE EVERY FUCKING TIME. THIS GUY HURTS PEOPLE ON PURPOSE.,2024-04-26,2,bible,1783677289714139597,1 star,0.8786898851394653
100,{{USERNAME}} holy crap you have a KVH FOG!?,2024-04-26,2,bible,1783684249461076207,1 star,0.8924950957298279
101,"{{USERNAME}} {{USERNAME}} {{USERNAME}} Jesus was a Jew. He was born of a Jewish mother, in Judea. This was before the bible. Jews have always been in the holy land. {{URL}}",2024-04-26,2,bible,1783684248039227524,1 star,0.31361180543899536
102,{{USERNAME}} {{USERNAME}} You dont even know the difference between European depictions and depictions from the Bible. Can't even take you seriously.  The reason you don't actually answer me.,2024-04-26,2,bible,1783684241873629478,1 star,0.4107546806335449
103,Look at that bullet hole. Holy shit. God protected Deputy Aispuro! {{URL}},2024-04-26,2,bible,1783684240527573069,1 star,0.9079683423042297
104,{{USERNAME}} ….but grilled cheese is itself a sandwich 		So it already a sandwich anyway,2024-04-26,2,bible,1783684233212342447,3 stars,0.3135085701942444
105,{{USERNAME}} I thought you were being sarcastic...holy moly.  start here - {{URL}}  then read Nehl's book.  {{URL}},2024-04-26,2,bible,1783684230049931745,1 star,0.4842275083065033
106,holy. SHIT {{URL}},2024-04-26,2,bible,1783684226975498290,1 star,0.4031693637371063
107,{{USERNAME}} {{USERNAME}} {{USERNAME}} Stick to the humane issue at hand.	NO biblical myths and lies. 	NO colonial racist settler projects. {{URL}},2024-04-26,2,bible,1783684223993552921,1 star,0.45650479197502136
108,{{USERNAME}} My mom had to drive to his apartment tbf because he forgot to turn it off after Bible study 🤢. In the end we did go out but I left my eyedrop cooler there. Something gained and something lost 😞,2024-04-26,2,bible,1783684220109332633,4 stars,0.2767278850078583
109,"{{USERNAME}} A fresh Dungeness crab and Oregon mini pink shrimp po boy with fresh fennel, arugula, pickled onion and radish and some kind of white sauce a little closer to fresh coleslaw sauce than tartar. On the coast so the seafood was so sweet",2024-04-26,2,bible,1783684215282053499,4 stars,0.4188101291656494
110,{{USERNAME}} The Holy Land will always win!!,2024-04-26,2,bible,1783684212349915159,5 stars,0.7934494018554688
111,Hatterene Lady broke the towel gag holy shit. Course’ they had to be a sass parade {{URL}},2024-04-26,2,bible,1783684211440078991,1 star,0.6174044013023376
112,{{USERNAME}} Holy great time for me to be a fan,2024-04-26,2,bible,1783684209191555138,5 stars,0.7667952179908752
113,{{USERNAME}} Holy shit!!!!!  What happened to him? THE VENUS CURSE STRIKES AGAIN,2024-04-26,2,bible,1783684206926676276,1 star,0.9277912378311157
114,{{USERNAME}} {{USERNAME}} Holy. Shit.	That is absolutely awful. I'm so sorry that happened to you.,2024-04-26,2,bible,1783684204842352994,1 star,0.9494911432266235
115,{{USERNAME}} {{USERNAME}} {{USERNAME}} {{USERNAME}} LOOOOOOOOL HOLY,2024-04-26,2,bible,1783684204376510719,1 star,0.3454524576663971
116,Holy shit it’s about time! Let’s go {{USERNAME}} 		This is an authentic listing for $RIO as they do not pay for listing services as far as I can recall!!		Bullish news for this #RWA 👑 		#btc #AltcoinGems #Binance #bnb #ETH {{URL}},2024-04-26,2,bible,1783684200719175759,1 star,0.9131839275360107
117,"{{USERNAME}} Judas received the Holy Spirit. Not for whatever reason that happened, we will never know unless we ask God.		But if you just let the text speak, it says that Judas received this power from Jesus, and the only power that I could come from is the Holy Spirit.",2024-04-26,2,bible,1783684198290559168,1 star,0.3784482181072235
118,"{{USERNAME}} {{USERNAME}} {{USERNAME}} Early testing stages but holy shit, this seems life changing",2024-04-26,2,bible,1783684198022189527,1 star,0.43211793899536133
119,I don’t even care who we draft for the rest of this draft. We got drake maye. Holy fuck. Let’s go.,2024-04-26,2,bible,1783684192787718452,1 star,0.8202879428863525
120,{{USERNAME}} I play elder scrolls online,2024-04-26,2,bible,1783684190044623123,5 stars,0.4157394766807556
121,—; RWBY survived holy shit I’m sobbing,2024-04-26,2,bible,1783684185007239525,1 star,0.6420941352844238
122,{{USERNAME}} Holy shit. You actually left your house!?,2024-04-26,2,bible,1783684175771451543,1 star,0.9286470413208008
123,Holy shit.	Pakistanis are living in hell.	Outlaw Pakistan.	They want to control millions of people not just one or two.	The whole country is outsourced.	At least US state dept is giving them (somewhat) shit for gross human rights violation.	PTi troopers should grill DG ISI and… {{URL}} {{URL}},2024-04-26,2,bible,1783684175692001664,1 star,0.9215494990348816
124,"{{USERNAME}} Riiiight, I'ma go with the Bible on this one",2024-04-26,2,bible,1783684173707784648,1 star,0.3305801749229431
125,"The fear of the LORD is the beginning of wisdom, &amp; the knowledge of the Holy One is understanding. -Proverbs 9:10",2024-04-26,2,bible,1783684172524945618,5 stars,0.500917375087738
126,"Ethereum’s smart contracts are like the mystical scrolls of the digital  world, holding secrets and automated wisdom. #EthereumEnigmas  #SmartContractMysteries",2024-04-26,2,bible,1783684170843295930,5 stars,0.6595104932785034
127,Made it to my fucking hotel. Holy fuck. I had packed flights. Packed flights can go to hell.,2024-04-26,2,bible,1783684170314899470,1 star,0.6868857741355896
128,"This Verse kid better bring something to compare him to the great {{USERNAME}}  holy crap. Just cuz he can use his hands, blasphemy!!!!",2024-04-26,2,bible,1783684169135993285,1 star,0.9271395802497864
129,Holy cow why did i lose so many followers today,2024-04-26,2,bible,1783684168800407976,5 stars,0.4257177412509918
130,{{USERNAME}} Holy moly 😳 {{URL}},2024-04-26,2,bible,1783684161842069981,5 stars,0.4143068790435791
131,"Eve doesn’t get bitten in the Bible — rather, she is the one who chooses to bite the forbidden fruit. So Taylor is saying that she cursed herself with her own decisions. In Hits Different, her need for space is what led to the end of the relationship. {{URL}}",2024-04-26,2,bible,1783684159468089514,4 stars,0.3162486255168915
132,{{USERNAME}} holy shit it's me,2024-04-26,2,bible,1783684159354867949,5 stars,0.4084802567958832
133,{{USERNAME}} That is freaking AWESOME. Holy shit. 🔥🔥🔥🔥,2024-04-26,2,bible,1783684157144813883,1 star,0.4351392686367035
134,{{USERNAME}} {{USERNAME}} {{USERNAME}} holy shit are you batman?,2024-04-26,2,bible,1783684156867989731,1 star,0.6352548003196716
135,{{USERNAME}} Holy shit there's a a whole 45 minute porno in the comments 😳,2024-04-26,2,bible,1783684156611772513,1 star,0.796673059463501
136,{{USERNAME}} A JOB COMPRISED OF EMPATHY AND COMPASSION RESPONDED NEGATIVELY TO AN EMPLOYEE DEMONSTRATING NEITHER EMPATHY NOR COMPASSION. HOLY FUCK IM SHOCKED. I swear you transphobic idiots collectively share one single fucking brain cell.,2024-04-26,2,bible,1783684153348587740,1 star,0.9154001474380493
137,"{{USERNAME}} {{USERNAME}} Here we go again I’m an Aryan, I get all of my education from the Bible you get your education from the Catholic Church to completely different entities, Jesus said you would know them by the fruits that they produce, look what they have done over the centuries",2024-04-26,2,bible,1783684152904057021,1 star,0.37822040915489197
138,Plug-in ChatGPT API then every one claim themselves building Ai.		As a developer holy fcking genius way to SCAM investor {{URL}},2024-04-26,2,bible,1783684151113289813,1 star,0.6243679523468018
139,omfgggggggggggg you’re right. Holy shit balls 🤯🤯🤯🤯 {{URL}},2024-04-26,2,bible,1783684149372748184,1 star,0.46687206625938416
140,{{USERNAME}} {{USERNAME}} {{USERNAME}} {{USERNAME}} Is your suggestion that Biblical characters did not sin?,2024-04-26,2,bible,1783684147845771364,1 star,0.4066622257232666
141,"🔲		I beseech you therefore, brethren, by the mercies of God, that ye present your bodies a living sacrifice, holy, acceptable unto God, which is your reasonable service.		Rom 12:1  kjv	🔲",2024-04-26,2,bible,1783684138991845878,5 stars,0.6635609865188599
142,"that is a mad revelation, wdym they were treating Henry like how the fanbase treats saka nowadays 😭 {{URL}}",2024-04-26,2,bible,1783684138371076320,1 star,0.5639994740486145
143,"“And they overcame him by the blood of the Lamb, and by the word of their testimony; and they loved not their lives unto the death.“	Revelation 12:11 KJV {{URL}}",2024-04-26,2,bible,1783684134247776444,5 stars,0.4314367175102234
144,{{USERNAME}} Holy shit.,2024-04-26,2,bible,1783684133878649262,1 star,0.5381026864051819
145,"{{USERNAME}} {{USERNAME}} WOW!		Holy cow, I don't think I've ever made someone so mad on Twitter before. This is hilarious.		You're REALLY mad. You need to go out and touch some grass, man. At least 21 posts a day for a solid 2 months. Most impressive.		Touch grass, traitor.",2024-04-26,2,bible,1783684133471809916,5 stars,0.8019962906837463
146,"{{USERNAME}} {{USERNAME}} Ok Throw yours away and come back here with your Bible, that’s all I’m asking since you man-made deity can do all things.. I think you’re getting off topic here. What you’re talking about isn’t exclusive to men but women as well, so don’t flatter yourself. Just stay on track",2024-04-26,2,bible,1783684130225402144,4 stars,0.23112721741199493
147,{{USERNAME}} Holy shit.,2024-04-26,2,bible,1783684125347508642,1 star,0.5381026864051819
